nohup: ignoring input
开始监控进程: /root/shared-nvme/.conda/envs/LocaleXpert_env/bin/python run.py --task At
[2026-06-07 04:06:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 04:11:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 04:16:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 04:21:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 04:26:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 04:31:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 04:36:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 04:41:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 04:46:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 04:51:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 04:56:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 05:01:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 05:06:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 05:11:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 05:16:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 05:21:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 05:26:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 05:31:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 05:36:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 05:41:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 05:46:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 05:51:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 05:56:33] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 06:01:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 06:06:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 06:11:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 06:16:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 06:21:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 06:26:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 06:31:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 06:36:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 06:41:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 06:46:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 06:51:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 06:56:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 07:01:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 07:06:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 07:11:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 07:16:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 07:21:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 07:26:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 07:31:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 07:36:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 07:41:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 07:46:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 07:51:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 07:56:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 08:01:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 08:06:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 08:11:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 08:16:34] 目标进程仍在运行，将在 300 秒后再次检查。
[2026-06-07 08:21:34] 目标进程已结束。正在执行新命令...
[2026-06-07 08:21:34] 新命令已启动。监控脚本即将退出。
